Epoch,Loss,Accuracy
1,0.03577024920688617,0.002901261115842041
2,0.035067255149370334,0.012821903779913157
3,0.041228836548362575,0.02246311370804899
4,0.04994162877022075,0.029969551198243478
5,0.05397004260729232,0.034203971847542126
6,0.05633470652760743,0.038211255831597284
7,0.05773027877326629,0.0405317964012498
8,0.059104076548984606,0.043072448790828985
9,0.06026964915319923,0.04402314452370378
10,0.06145188478694117,0.04540938066622072
11,0.06187176650830031,0.0463803703966774
12,0.06251685058484845,0.04745829388362329
13,0.06316553948833556,0.04795315520927405
14,0.0634882750812565,0.0483137639355369
15,0.06389048404179282,0.04899517393126735
16,0.06445524187058989,0.049662534236364186
17,0.06479712204625936,0.04912162114696991
18,0.06454134750750608,0.05055859228344158
19,0.06522569122599937,0.05106047845440914
20,0.06521010512661746,0.051478066481575005
21,0.06575352794845933,0.051807453673096485
22,0.06567489178658267,0.05260906657758122
23,0.06527671510019849,0.05276985748149929
24,0.06565705678678195,0.05329047657331168
25,0.06593988131646154,0.05342550971106811
26,0.06602388007905872,0.05328032957452073
27,0.06591986698221836,0.043354223141869874
28,0.031629685452874486,0.0481272152654572
29,0.032106126050770886,0.050471171986165735
30,0.03577719334026174,0.04565212809883489
